Estratégia,Estratégia,Precision,Recall
E1,E1,0.47058823529411764,0.36363636363636365
E2,E2,0.017640573318632856,0.7272727272727273
E4,E4,0.029345372460496615,0.5909090909090909
E5,E5,0.044715447154471545,0.5
E6,E6,0.03513513513513514,0.5909090909090909
E7,E7,0.037037037037037035,0.5454545454545454
